WNAM,SCHN
"Aguilar Moré, Ramón",Barcelona
"Aguilar, Alonso de",Cádiz
"Aguilar the Elder, Diego de",Toledo
"Aguilar the Younger, Diego de",Toledo
"Aguilar, Diego de",Segovia
"Aguilar, Pere (or Pedro)",Lérida
"Aguilera Martí, José (or Josep)",Catalonia
"Aguiló Tosca, Ataulfo (or Ataülf)",Barcelona
"Aguirre Sánchez, Lorenzo",Pamplona; Madrid; Alicante
"Aguirre y López, Agustín",Madrid; Jaen
"Aguirre y Monsalbe, Manuel",Aragon; Madrid
"Aguirre y Rodríguez, Miguel",Cádiz; Madrid
"Aguirre, Andrés Ginés de",Madrid
"Aguirre, Domingo de",Madrid
"Aguirre, Domingo de",Valladolid (?)
"Aguirre, Marcial",Basque Country
"Agustín y Grande, Francisco",Barcelona; Andalusia
"Agustín, Francisco",Córdoba
"Ainaud Sánchez, Manuel",Alicante; Barcelona
"Aizpurúa, José Manuel",Basque Country
"Alabern Casas, Camilo (or Camil)",Catalonia
"Alabern Casas, Ramón",Barcelona
"Alabern y Moles, Pablo (or Pau)",Barcelona
"Alabern, Juan (or Joan)",Barcelona
"Aladrén, Emilio",Madrid
"Alandi, Cristóbal (or Cristófor)",Catalonia
"Alangua Puchet, Julián",Bilbao
"Alarcón Suárez, José",Madrid
"Alarcón y Cáceres, José María",Murcia
"Alarcón, Félix",Seville; Barcelona
"Alarma Tastás, Salvador",Catalonia
"Alava, Juan de",
"Alava, School of, Anonymous Painters of",
"Alava, School of, Anonymous Sculptors of",
"Alba y Massa, Eduardo de",Madrid
"Alba y Rodríguez, Enrique de",Madrid
"Albalat, Agustín",Valencia
"Albarranch Blasco, Vicente (or Vicent)",Barcelona
"Albert, Bartolomé",Valencia
"Alberti Barceló, Fernando",Madrid
"Alberti, Rafael",
"Albiol López, José",Valencia; Madrid
"Albiztur, Bernardo",Madrid
"Albizu, Enrique",Guipúzcoa
"Albuerne, Manuel",Madrid
Alburano,Silos
"Alcalá Galiano, Alvaro (Conde del Real Aprecio)",Bilbao; Madrid
