WNAM,SCHN
"Oslé Sáenz de Medrano, Miquel (or Miguel)",Barcelona
"Osmundo Gómez, Gabriel",
"Osona, Francesc d' (or Francisco de)",Valencia
"Osona, Rodrigo de (or Roderic d')",Valencia
"Ostiza, Esteban de",Basque Country
"Ostiza, Martín de",Basque Country
"Osuna, Manuel",Seville
"Oteiza, Jorge de",Madrid; Basque Country
"Otermín y García Bustamante, Agustín",Asturias
"Otero Camps, Jaume (or Jaime)",Balearic Islands
"Oviedo the Elder, Juan de",Seville
"Oviedo y de la Bandera, Juan de",Seville
"Oviedo, School of, Anonymous Painters of",
"Oviedo, School of, Anonymous Sculptors of",
"Ozores, Jaime",
"Pablo, Pedro",Tarragona
"Pacheco, Francisco",Seville
"Padilla Lara, Juan",Cádiz
"Padró Pedret, Ramon",Barcelona
"Padró Pedret, Tomàs",Barcelona
"Padró Pijoan, Ramon",Barcelona
"Pagès Cabañeras, Francesc (or Francisco)",Barcelona
"Pagès López, Enric (or Enrique)",Catalonia
"Pagès Serratosa, Francesc (or Francisco)",Barcelona
"Pagniucci Zumel, José",Madrid
"Palà Bofill, Eveli (or Evelio)",Barcelona
"Palacio de Azaña, Fernando",Valencia
"Palacio y Freire Duarte, Manuel del",Madrid
"Palacio, José del",Madrid
"Palacios, Francisco de",
"Palao Ortubia, Luis",Saragossa
"Palau Buxó, Joan (or Juan) de",Catalonia
"Palau Oller, Josep (or José)",Barcelona
"Palau Romero, Genaro",Valencia
"Palau, Josep (or José)",Barcelona
"Palazuelo, Pablo",Madrid
"Palencia Alvarez Tubau, Ceferino",Madrid
"Palencia Ubanell, Gabriel",Madrid
"Palencia, Benjamín",Castile
"Palencia, Gaspar de",Valladolid
"Palencia, School of, Anonymous Painters of",
"Palencia, School of, Anonymous Sculptors of",
"Palet Batiste, Joan (or Juan)",Barcelona
"Pallarés Allustante, Joaquín",Saragossa
"Pallarès Torruella, Lluís (or Luis)",Catalonia
"Palmarola Romeu, Ramon",Barcelona
"Palmaroli González, Vicente (or Vincente)",Madrid
"Palmaroli, Cayetano (or Gaetano)",Madrid
"Palmeiro, José",Madrid
"Palmero de Gregorio, Alfredo",
"Palmerola, Ignasi (or Ignacio)",Barcelona
"Palomino de Castro y Velasco, Acisclo Antonio",Madrid
"Palomino, Juan Bernabé",Córdoba and Madrid
"Palomo Anaya, Antonio",Málaga
"Pamplona, Pedro de",
"Panach Ballester, Felipe",Valencia
"Pancorbo, Francisco",Jaén
"Pantoja de la Cruz, Juan",Madrid
"Pantorba, Bernardino de (pseud.)",Seville
"Panyó, Joan Carles (or Juan Carlos)",Catalonia
"Parada Justel, Ramón",Galicia
"Parada Santín, José",Madrid
"Páramo López, Salvador",Madrid
"Parcerisa, Francisco Javier (or Francesc Xavier)",Barcelona
"Pardo Galindo, Victoriano",Madrid
"Pardo, Gregorio",Castile-Leon
"Paredes, Vicente García de",Valencia
"Pareja, Juan de",Seville and Madrid
"Parera Munté, Francesc (or Francisco)",Barcelona
"Parera Romero, Josep (or José)",Barcelona
"Parera Saurina, Antoni (or Antonio)",Barcelona
"Paret y Alcázar, Luis",Madrid
"Parladé, Andrés (Conde de Aguiar)",Málaga
"Parra Abril, Miguel",Valencia
"Parra de Lanvin, Angeles",Cádiz
"Parra Piquer, José Felipe",Valencia
"Parra, Ginés (pseud.)",Almería
"Párraga Macorra, Ciriaco",Cantabria
"Pascó Mensa, Josep (or José)",Catalonia
"Pascual Bosom, Camilo",Barcelona
"Pascual Gimeno, Juan (or Joan)",Valencia
"Pascual Monturiol, Eduard (or Eduardo)",Barcelona
"Pascual Ribera, Alfredo (or Alfred)",Lérida
"Pascual Rodés, Iu (or Ivo)",Catalonia
"Pascual Valls, José",Murcia
"Pascual y Abad, Antonio",Valencia
"Pastor Barón, Jaime",Aragon
"Pastor Juliá, Damián",Valencia; Murcia
"Pastor Juliá, Modesto (or Modest)",Valencia
"Pastor Valsero, Dionisio",Valladolid
"Pastor, Francesc",Catalonia
"Paternina García-Cid, Enrique (or Enric)",La Rioja
"Pausas Coll, Francesc (or Francisco)",Barcelona
"Pay, Pedro",
"Paz, Pedro de",Cáceres
"Pedragosa Torres, Joan (or Juan)",Barcelona
"Pedraza Ostos, José",Madrid
Pedro de Toledo,Seville
Pedro el Mudo,
"Peinado, Joaquín",Málaga
"Peiró Arcas, Juan",Valencia
Peláez,
"Pelayo Fernández, Eduardo",Madrid
"Pelegrí Clariana, Josep (or José)",Barcelona
"Pelegrín, Santiago",
"Pelfort Planell, Joan (or Juan)",Catalonia
"Peliguet, Tomás",Toledo
"Pellicer Feñé, Josep Lluís (or José Luis)",Barcelona
"Pellicer Galeote, Rafael",Madrid
"Pellicer Rouvière, Carles (or Carlos)",Barcelona
"Peña Muñoz, Maximino",Castile
"Peña, Polonia de",
"Penagos, Rafael de",Madrid
"Peñalosa, Juan de",Córdoba
"Peñaranda, Miguel de",Navarre
"Peolí, Juan Jorge",
"Perales, Juan",Valencia
"Peralta del Campo, Francisco",Seville
"Peralta, Pedro de",Madrid
"Perandreu, Joan de",Saragossa
"Perceval, Jesús de",Andalusia
"Perdigón, Jesús María",Madrid
"Pere, Antonio van de",
"Perea y Rojas, Alfredo",Madrid
"Pereda y Gil Machón, Federico",Burgos
"Pereda, Antonio de",Valladolid
"Pereda, Franz",
"Pereda, Juan de",
"Pereda, Sebastián de",Burgos
"Pereira, Manuel",Madrid
"Pereira, Vasco",
Peresejo (pseud.),Barcelona
"Pérez Comendador, Enrique",Seville
"Pérez de Aibar, Miguel",Andalusia
"Pérez de Alesio, Mateo",
"Pérez de Arrieta, Pedro",Navarre
"Pérez de Carrión, Antón",Castile
"Pérez de Castro, Mariano",
"Pérez de Castro, Pedro",Madrid
"Pérez de Pineda, Francisco",Seville
"Pérez de Valluerca, Eusebio",Basque Country
"Pérez de Villamayor, Juan",Madrid
"Pérez de Villoldo, Alvar (or Albar)",Toledo
"Pérez del Camino, Fernando",Cantabria
"Pérez del Valle, Francisco",Asturias
"Pérez Galdós, Benito",Canary Islands
"Pérez García, Angel",Barcelona
"Pérez Gil, José",Valencia
"Pérez Lizano, Julio",Saragossa
"Pérez Martínez, Manuel",Barcelona
"Pérez Martínez, Tomás (or Thomas)",La Rioja
"Pérez Mateo, Francisco",Barcelona
"Pérez Ortiz, José",Granada
"Pérez Pizarro, Francisco",Valencia
"Pérez Ripoll, Julio",Barcelona
"Pérez Rubio, Antonio",Madrid
"Pérez Rubio, Timoteo",Estremadura
"Pérez Sierra, Francisco",
"Pérez Siguimboscum, José",Cádiz
"Pérez Torres, Miguel",Navarre
"Pérez Vicente, Enrique",Madrid
"Pérez Villaamil, Jenaro (or Genaro)",Madrid
"Pérez Villaamil, Juan",Madrid
"Pérez y Martínez, Silvestre",
"Pérez, Alonso (or Alonzo)",
"Pérez, Alvino",
"Pérez, Andrés",Seville
"Pérez, Antón (or Antonio)",Seville
"Pérez, Antonio",Seville
"Pérez, Bartolomé",Madrid
"Pérez, Bernardo",Saragossa
"Pérez, Juan (or Joan)",Burgos
"Pérez, Pedro",Toledo
"Perich Fuster, Emilio",Saragossa
"Pericot Garcia, Joan (or Juan)",Barcelona
"Peris Brell, Julio",Valencia
"Peris, Antonio (or Antón)",Valencia
"Peris, Gonzalo (or Gonçal)",Valencia
"Peris, R.",
"Perles, Joan (or Juan)",Perpignan (Perpiñán)
"Pernicharo, Pablo",Castile
"Perpignan, School of, Anonymous Painters of",
"Perpignan, School of, Anonymous Sculptors of",
"Perrín Baulíes, Josep (or José)",Barcelona
"Perrín, Miguel (or Michel)",Santiago de Compostela
"Pertús, Miguel",Saragossa
"Pertús, Pedro",Saragossa
"Pertús, Rafael",Saragossa
"Pesquera, Diego de",Seville
Petrus,Castile-Leon
Petrus Deustamben,
"Peyró Mezquita, Antonio",Valencia
"Peyró Urrea, Juan (or Joan)",Valencia
"Peytaví, Antoni (or Antonio)",Perpignan (Perpiñán)
"Pi y Margall, Joaquim (or Joaquín)",Barcelona
"Piasca, Juan de",Burgos; Castile
"Picardo, Juan",Castile-Leon
"Picardo, León",Castile-Leon
"Picart, Pierres (or Pedro)",Navarre
"Picasso, Pablo",Málaga
"Pichot Gironès, Ramon",Catalonia
"Picó Martí, Josep (or José)",Barcelona
"Picó Ribera, Hernán",Barcelona
"Pico, José",Madrid
"Picó, Mariano",
"Picola Hernández, Gonzalo",Madrid
"Pícolo López, Manuel",Murcia
"Pidelaserra Brias, Marià (or Marian, or Mariano)",Barcelona
"Pieltain Bartolí, Luis",Galicia
"Pieltain, Ricardo",
"Pierres, Master",Navarre; Toledo
"Pigem Ras, Manuel",Barcelona
"Pignatelli y Moncayo, Vicente",Aragon
"Pillar, Francisco",
"Pimentel, Jacinto",Andalusia
"Pina, Juan Laureano",Seville
"Pinazo Camarlench, Ignacio (or Ignasi)",Valencia
"Pinazo de Fernández Longoria, Marisa",
"Pinazo Martínez, Ignacio (or Ignasi)",Valencia
"Pinazo Martínez, José",Valencia
"Pineda, Bernardo Simón de",Seville
"Pineda, González",
"Pinelo Llull, José",Seville
"Pinelo Yañez, José",Seville
"Pinet Pàmies, Enric",Catalonia
"Pinilla, Juan de",Avila
"Pinilla, Marcos de",Valladolid
"Pino Sardá, Miguel Angel del",Seville
"Piñole, Nicanor",Asturias
"Pinós Palà, Joan (or Juan)",Barcelona
"Pinto, Aquilino",
"Pinto, J.",
"Pintor, Arnau",Catalonia/ Seo de Urgel
"Pintor, Arnau (or Arnaud)",Catalonia/ Roussillon
"Piqué Iserte, José",Barcelona
"Piquer Duart, José (or Josep)",Madrid
"Piquer, José I",
"Piquer, José II",
"Piquet Catulí, Josep  (or José)",Barcelona
"Pizarro, Antón (or Antonio)",Toledo
"Pizarro, Cecilio (or Cecillio)",Madrid
"Pla Durán, Francesc (or Francisco)",Catalonia
"Pla Gallardo, Cecilio",Valencia
"Pla Pallejà, Jaume (or Jaime)",Barcelona
"Pla Rubió, Alberto (or Albert)",Valencia
"Pla y Bo, Salvador",Valencia
"Planas Dòria, Francesc d'Assís (or Francisco de Asis)",
"Planas Franquesa, Eusebi (or Eusebio)",Barcelona
"Planas Guasch, Fernando",
"Planella Conxelló, Bonaventura (or Buenaventura)",Barcelona
"Planella Conxelló, Gabriel",Barcelona
"Planella Conxelló, Joaquim (or Joaquín)",Barcelona
"Planella Conxelló, Ramon",Barcelona
"Planella Coromina, Josep (or José)",Barcelona
"Planella Rodríguez, Joan (or Juan)",Barcelona
"Planells, Angel",Catalonia
"Planes Peñalver, José",Murcia
"Planes, Luis Antonio",Valencia
"Plans Sola, Josep (or José)",
Plarencio,
"Plasencia Maestre, Casto",Castile
"Plasencia, Antonio (or Antón) de",Saragossa
"Poal, Romeu (or Romeo, or Romeus) des",Balearic Islands
"Polanco y Crespo, Victoriano",Castile
"Polanco, Francisco",Seville
"Polanco, Miguel",Seville
"Poleró y Toledo, Vicente",Cádiz
"Poles, Francisco",Castile
"Polo the Elder, Diego",Burgos
"Polo the Younger, Diego",
"Pompey Salgueiro, Francisco",Madrid
"Ponce de León, Dávila",
"Ponce Puente, José",Málaga
"Ponce, Antonio",Castile
"Poncela Ontoria de Jardiel, Marcelina",Castile
"Pons Arnau, Francisco (or Francesc)",Valencia
"Pons, Juan",Valencia
"Pontons, Pablo",Valencia
"Ponzano Gascón, Ponciano",Saragossa
"Ponzano y Mur, Luis",Madrid
"Porcar Ripollés, Juan Bautista (or Joan Baptista, or Joan Bautista)",Valencia
"Porset y Martínez, Emilio",Madrid
"Porta, Felipe I",Valencia
"Porta, Felipe II",Valencia
"Porta, Miguel Juan (or Miguel Joan, or Miquel Joan)",Valencia
"Porta, Pablo (or Pau)",Valencia
"Portela de la Llera, Francisco",Cádiz
"Posada Moreno, Francisco",Madrid
"Potau Torre de Mer, Artur (or Arturo)",Barcelona
"Pou Bosch, María",Barcelona
"Pou, Miguel",Valencia
"Pous Palau, Antoni (or Antonio)",Barcelona
"Poveda Juan, Vicente",Alicante
"Poy Dalmau, Emilio",Madrid
"Poy Dalmau, Manuel",Madrid
"Pozo y la Orden, Julián",Castile
"Pozo, Pedro del",Seville
"Pradell Pujol, Damià (or Damián)",Barcelona
"Pradilla Ortiz, Francisco",Madrid
"Prado Mariño, Melchor",Galicia
"Prado, Blas de",Toledo
"Prado, Mateo de",Galicia
"Prado, Miguel (or Miquel) del",Valencia
"Prado, Tomás de",Valladolid
"Prat Ubach, Pere (or Pedro)",
"Pratginestós de Bonaparte, Eduard (or Eduardo)",Barcelona
"Prats y Velasco, Francisco",Málaga
"Praves, Diego de",Valladolid
"Preboste, Francisco",Toledo
"Preciado de la Vega, Francisco",Seville and Rome
"Preciado, José",
"Prevosti Casanova, Antoni (Or Antonio)",Barcelona
"Prieto Coussent, Benito",Galicia
"Prieto Muñoz, Gregorio",Castile
"Prieto Nespereira, Julio",Galicia
"Prieto Santos, Francisco",Castile
"Prim Guytó, Josep Maria (or José María)",Barcelona
"Pruna Ocerans, Pere (or Pedro)",Barcelona
"Puebla Tolín, Dióscoro (or Dióscolo, or Dióscono) Teófilo de la",Castile
"Pueyo Matanza, José",Madrid
"Puga, Antonio",Madrid
"Puget Viñas, Narciso (or Narcís)",Balearic Islands
"Puig Perucho, Bonaventura (or Buenaventura)",Catalonia
"Puig Roda, Gabriel",Valencia
"Puig, Ramon",Catalonia
"Puig, V.",Barcelona
"Puigdengolas Barella, Josep (or José)",Catalonia
"Pujadas Badía, Miquel (or Miguel)",Catalonia
"Pujol Gustavino, Climent (or Clemente)",Barcelona
"Pujol Ripoll, Josep (or José)",Catalonia
"Pujol the Elder, Agustí (or Agustín)",Catalonia
"Pujol the Younger, Agustí (or Agustín)",Catalonia
"Pulido Fernández, Ramón (or Rémon)",Madrid
"Quadra, Nicolas Antonio de la",Bilbao
"Querol Eloy, Jaume (or Jaime)",Barcelona
"Querol Subirats, Agustí (or Agustín)",Catalonia
"Quesada, Augusto Manuel",Seville
"Quijano, Jerónimo (or Gerónimo)",
"Quintana Montoto, Sócrates",
"Quintanilla, Luis",
"Quiroga Losada, Manuel",Galicia
"Quirós, Antonio",
"Quirós, Lorenzo de",
"Rada, Andrés de",Valladolid
"Ràfols Cullerès, Albert (or Alberto)",Barcelona
"Ràfols Fontanals, Josep Francesc (or José Francisco)",Catalonia
Raimundo de Monforte,Galicia
Raimundo de San Saturnino,Burgos
"Ram, Domingo",Aragon
"Rambla, Domingo de la",Valencia
"Ramírez de Arellano [the Elder], Juan",Saragossa
"Ramírez de Arellano, Cristóbal",Toledo
"Ramírez de Arellano, José",Saragossa
"Ramírez de Arellano, Juan",Saragossa; Madrid
"Ramírez de Arellano, (Fray) Manuel",Saragossa
"Ramírez Ibáñez, Manuel",Madrid
"Ramírez, Antonio",
"Ramírez, Cristóbal",Valencia
"Ramírez, Cristóbal",Seville and Canary Islands
"Ramírez, Felipe",
"Ramírez, Juan",Seville
"Ramírez, Juan",Granada
"Ramis, Juli (or Julio)",Balearic Islands
"Ramonet, José",Andalusia
"Ramos Artal, Manuel",Madrid
"Ramos López, Máximo",
"Ramos, Francisco Javier (or Xavier)",Madrid
"Rapatez, J.",
"Raurich Petre, Nicolau (or Nicolás)",Barcelona
"Rebarter Gasulla, Josep",Tarragona
"Rebull, Joan (or Juan)",Catalonia
"Recio Gil, Enrique",Madrid
"Redondillo, Isidoro de",Madrid
"Regidor Gómez, Santiago",Madrid
"Regoyos, Darío de",Basque Country
"Reig Corominas, Ramon",Catalonia
"Reina, Francisco",Seville
"Reinés, Antoni (or Antonio)",Barcelona
"Reixach, Joan (or Juan)",Valencia
"Renart Bosch, Dionís (or Dionisio)",Catalonia
"Renart García, Dionís (or Dionisio)",Barcelona
"Renart García, Joaquim (or Joaquín)",Barcelona
"Renau Montoro, José (or Josep)",Valencia
"Renau Torrent, Vicente",Valencia
"Renau, Josep (or José)",Valencia
"Renom de Gárate, Miquel (or Miguel)",Barcelona
"Reolid, Juan de",
"Requena the Elder, Gaspar",Valencia
"Requena the Elder, Vicente",Valencia
"Requena the Younger, Gaspar",Valencia
"Requena the Younger, Vicente",Valencia
"Requena, Miguel",Valencia
"Revuelta, Rafael",Valladolid
"Rey Padilla, Sebastián",
"Rey, Miguel del",Aragon
"Reyes Barroso, Alonso",
"Reyna Manescau, Antonio María de",Málaga
"Reynés Gurguí, Josep (or José)",Barcelona
"Riancho, Agustín",
"Riba Bracons, Antoni (or Antonio)",Barcelona
"Riba Rovira, Francesc (or Francisco)",Barcelona
"Ribalta, Enrique",
"Ribalta, Francisco",Valencia
"Ribalta, Juan",Valencia
"Ribas Bertran, Marian (or Marià, or Mariano)",
"Ribas Montenegro, Federico (or Frederico)",
"Ribas Oliver, Antonio (or Antoni)",Balearic Islands
"Ribas Prats, Antoni (or Antonio)",Balearic Islands
"Ribas Rius, Ramon",
"Ribas, Felipe de",
"Ribas, Francisco Dionisio de",Seville
"Ribed y Andriani, Alberto",Madrid
"Ribelles y Helip, José",
"Ribera Blázquez, José",Madrid
"Ribera Cirera, Romà (or Román)",Barcelona
"Ribera Gómez, Francisco",Madrid
"Ribera Sanchis, Carlos",Madrid; Valencia
"Ribera y Fernández, Juan Antonio",
"Ribera y Fievée, Carlos Luis de",Madrid
"Ribera, José (or Josef, or Jusepe) de",
"Ribera, Juan Vicente de",Madrid
"Ribero, G.",
"Ribes, Francesc (or Francisco)",
"Ribó, Segimon (or Segismundo)",Catalonia
"Ribot Deu, Josep (or José)",Barcelona
"Ricart Nin, Enric Cristòfol (or Enric Cristòfor, or Enrique Cristóbal)",Catalonia
"Ricart Serra, Manuel",
"Richart Montesinos, Fernando",Valencia
"Rico Cejudo, José",Seville
"Rico Ortega, Bernardo",Madrid
"Rico Ortega, Martín",
"Ridaura Casademont, Carles",
"Ridaura Gonsalvez, Lorenzo",Madrid
"Ridaura, Agustín",Valencia
"Riera Modolell, Isidro (or Isidre)",
"Riera Rojas, Roc (or Roque)",
"Riera Sicart, Juan",
"Ries, Ignacio de",Seville
"Rigalt Cortiella, Agustí (or Agustín)",Barcelona
"Rigalt Fargas, Pau (or Pablo)",Barcelona
"Rigalt Farriols, Lluís (or Louis, or Luis)",Barcelona
"Rigol Font, Ramon",Barcelona
"Rincón de Figueroa, Fernando (or Hernando) del",Toledo
"Rincón García, Carlos",Cantabria
"Rincón Garrido, Vicente",Barcelona
"Rincón, Francisco de",Valladolid
"Rioja, Domingo de la",Castile
"Ríos, Ricardo de los",Castile
"Riosca, Joaquín",
"Ripoll Plana, Lluís (or Luis)",
Ripoll Tarascó,Catalonia
"Ripoll, School of, Anonymous Painters of",
"Ripoll, School of, Anonymous Sculptors of",
"Rippol Coca, Alberto",
"Riquer Inglada, Alexandre (or Alejandro) de (Conde de Casa Dávalos)",Catalonia
"Risques Trillas, Manuel",
"Risueño, José (or Josef)",Granada
"Riu Baragnes, Pere (or Pedro)",Barcelona
"Rius Zunon, María",
"Ríus, Juan",Aragon
"Rivelles Guillén, Juan",Valencia
"Rivera Bagur, Miquel (or Miguel)",Balearic Islands
Rivero,Madrid
"Rivero, José",
"Rizi, Francisco",
"Rizi, Fray Juan Andrés",Castile
"Robió, Bartomeu (or Bartolomé)",Catalonia
"Robledano, José",Madrid
"Robles Martínez, José",Asturias
"Robles Quintana, Angel",Málaga
"Roca Carrasco, Joaquín",Valladolid
"Roca Delpech, Jaume (or Jaime)",Catalonia
"Roca Furnó, Leopold (or Leopoldo)",Catalonia
"Roca y Delgado, Mariano de la",Seville
"Rocamora, Manuel",Catalonia
"Roch Minué, Pascual",Valencia
"Rocha Canals, Luis Eduardo de la",Madrid
"Rocha y González, Eduardo de la",Granada
"Rochelt Amann, Juan José",Basque Country
"Rodés, Vicente (or Vicenç, or Vicent)",Valencia; Barcelona
"Rodil, Clemente",
"Rodríguez Barcaza, Ramón",Cádiz
"Rodríguez Blanes, Benito",Granada
"Rodríguez Bonome, Santiago",Galicia
"Rodríguez Botas y Ghirlanda, Juan Manuel",Canary Islands
"Rodríguez Castelao, Alfonso",Galicia
"Rodríguez Catalán, Jesús",
"Rodríguez Clement, Francisco",Valencia
"Rodríguez de Guzmán, Manuel",Seville
"Rodríguez de la Oliva, José",Canary Islands
"Rodríguez de la Torre, Pedro",Andalusia
"Rodríguez de Losada, José María",Seville
"Rodríguez de Miranda, Pedro",Madrid
"Rodríguez de Solís, Juan",León
"Rodríguez de Toledo, Juan",
"Rodríguez Echevarría, Paulino Vicente",
"Rodríguez Hernández, Julio Antonio",Tarragona
"Rodríguez Jaldón, Juan",Seville
"Rodríguez Luna, Antonio",Córdoba
"Rodríguez Moya, Rafael",Catalonia
"Rodríguez Olavide, Genaro",Seville
"Rodríguez Orgaz, Mariano",Madrid
"Rodríguez Puig, Guillem (or Guillermo)",Barcelona
"Rodríguez Pusat, Francesc (or Francisco)",Barcelona
"Rodríguez Sánchez Clement, Francisco",Valencia
"Rodríguez y Jiménez el Panadero, Juan",Andalusia
"Rodríguez, Agustín",
"Rodríguez, Alonso (or Alfonso)",Seville and Salamanca
"Rodríguez, Antonio",Valencia
"Rodríguez, José Julio",
"Rodríguez, Juan",Avila
"Rodríguez, Juan",Toledo
"Rodríguez, Pedro",Valencia
"Rodríguez, Santiago",
"Rodríguez, Sebastián",Seville
"Rodríguez, Ventura",Madrid
"Rodríguez-Acosta, José María",Granada
"Roé Claramunt, Joan (or Juan)",Barcelona
"Roelas, Juan de",Seville
"Roësset Velasco, Marisa",Madrid
"Roger y Alba, José",
"Roig Asuar, Pedro",Murcia
"Roig Cisa, Pau (or Pablo)",Catalonia
"Roig Enseñat, Lluís (or Luis)",Catalonia
"Roig Estradé, Pau (or Pablo)",
"Roig Soler, Joan (or Juan)",Barcelona
"Roig, José",
"Roig, Salvador",Saragossa
"Roiz, Pilar",
"Rojas, José (Conde de Casa-Rojas)",
"Roldán the Elder, Pedro",Seville
"Roldán the Younger, Pedro",Seville
"Roldán y Martínez, José",Seville
"Roldán, Enrique",
"Roldán, José",Seville
"Romagosa Trill, Martí (or Martín)",
"Román, Bartolomé",Madrid
"Romana, Pedro",
"Romay, Miguel de",Galicia
"Romea y Ezquerra, Ramón",Saragossa
"Romero Barros, Rafael",Andalusia
"Romero de Torres, Enrique",Córdoba
"Romero de Torres, Julio",Córdoba
"Romero de Torres, Rafael",
"Romero Escasi, José",Seville and Madrid
"Romero Jiménez, Rafael",Valencia
"Romero López, José María",Seville
"Romero Mateo, Angel",
"Romero Orozco, Honorio",Valencia
"Romero y Landa, José",
"Romero, Juan Bautista",Valencia
"Romeros, G.",
"Romeu, Jaume (or Jaime)",Saragossa
"Romeu, Lluciá (or Luciano, or Luis)",Catalonia
Rómulo de Florencia,Aragon
"Ron, Manuel de",Asturias
"Ron, Pablo (or Pedro)",Asturias and Madrid
"Roqueta, Ramon",
"Ros Bofarull, Joaquim (or Joaquín)",Barcelona
"Ros García, Vicente",Murcia
"Rosa, A. de la",
"Rosa, Manuel de la",Andalusia
"Rosales, Diego de",Castile
"Rosales, Eduardo",Madrid
"Rosales, Gerardo",Granada
"Rosell Altimira, Antoni (or Antonio)",Catalonia
"Roselló Roselló, Llorenç (or Lorenzo)",Balearic Islands
"Rosi, Andrés",Madrid and Seville
"Rosich Arnavat, Antoni (or Antonio)",Catalonia
"Rotondo y Rabasco, Antonio",Madrid
"Roussillon, School of, Anonymous Painters of",
"Roussillon, School of, Anonymous Sculptors of",
"Rovira Brocandel, Hipólito",Valencia
"Rovira Soler, Josep (or José)",Barcelona and Madrid
"Rovirosa Blanc, Joan (or Juan)",Tarragona
"Roy Lhardy, Feliciano",Castile
"Ruano Llopis, Carlos",Valencia
"Rubiales, Miguel de",Madrid
"Rubiales, Pedro de",
"Rubio Jiménez, Mariano",
"Rubio Rosell, Rafael",Valencia
"Rubió Rosell, Robert (or Roberto)",Barcelona
"Rubio Sánchez, Adolfo",Murcia
"Rubio, Joaquín",Murcia; Andalusia
"Rueda, Miguel",Andalusia
"Ruesga, Juan de",Castile
"Ruipérez, Luis (or Louis)",Murcia
"Ruiz Blasco, José",Málaga
"Ruiz de Almodóvar, José",Granada
"Ruiz de Cáceres, Narciso",
"Ruiz de la Iglesia, Francisco Ignacio",Madrid
"Ruiz de Sarabia, Andrés",Seville
"Ruiz de Valdivia, Nicolás",Andalusia; Madrid
"Ruiz de Zubiate, Martín",Basque Country
"Ruiz Florindo, Alonso",
"Ruiz García-Trejo, José",Murcia
"Ruiz Gijón, Francisco",Seville
"Ruiz Gijón, Juan Carlos",Seville
"Ruiz González, Pedro",Castile
"Ruiz Guerrero, Manuel",Andalusia
"Ruiz III, Hernán (or Fernán)",Andalusia
"Ruiz Luna, Justo",Andalusia
"Ruiz Martínez, Ezequiel (or Ecequiel)",Seville
"Ruiz Melgarejo, Juan",Murcia
"Ruiz Morales, Francisco",
"Ruiz Morquecho, Valentín",Basque Country
"Ruiz Pulido, Cristóbal",Andalusia
"Ruiz Sánchez Morales, Manuel Bernardino",Granada; Madrid
"Ruiz Soriano, Juan",Seville
"Ruiz the Elder, Hernán (or Fernán)",Andalusia
"Ruiz the Younger, Hernán (or Fernán)",Andalusia
"Ruiz, Bartolomé",Córdoba
"Ruiz, Joanes Potricius",
"Rumoroso y Valdés, Enrique",
"Rusiñol, Santiago",Catalonia
"Sabaté Jaumà, Pau (or Pablo)",Catalonia
"Sabater Salabert, Daniel",
"Sabater Vilar, Jesús",
"Sabatés Andorrà, Salvador",Barcelona
"Saborit y Aroza, Enrique",Valencia
"Saboya, Pedro de",
"Sadurní Deop, Celestí (or Celestino)",Barcelona
"Sáenz de Tejada, Carlos",Basque Country
"Sáenz Hermúa, Eduardo",Madrid
"Sáenz Sáenz, Pedro",Málaga
"Sagnier Vidal, Manuel",
"Saint-Aubin, Alejandro",Madrid
"Sainz de la Maza, Francisco (or Francesc)",Barcelona
"Sainz de Morales, Gumersindo",Madrid; Barcelona
"Sainz, Casimiro",
"Sala Francés, Emilio (or Emili)",Valencia
"Sala Gabriel, Joan (or Juan)",Barcelona
"Sala, Rafael (or Rafel)",
"Salamanca, Fray Francisco de",Burgos; Seville
"Salamanca, School of, Anonymous Painters of",
"Salamanca, School of, Anonymous Sculptors of",
"Salas, Carlos (or Carles)",Saragossa; Madrid
"Salaverría Inchaurrandieta, Elías",Basque Country
"Salazar, Ambrosio de",Castile
"Salazar, Juan de",Castile
"Salcedo, Diego de",Seville
"Salcedo, Juan de",Seville
"Salces, Manuel",Cantabria
"Sales Roviralta, Francesc (or Francisco)",Barcelona
"Salesa, Buenaventura",Madrid; Saragossa
"Salgado, Demetrio",Castile-Leon
"Salinas Teruel, Agustín",Saragossa
"Salinas Teruel, Juan Pablo",Madrid
"Salís Camino, José",Cantabria; Basque Country
"Salmerón, Exoristo",
"Saló Junquet, José (or Josep)",Andalusia
Salomón,Toledo
"Salvadó Aragonès, Jacint",Catalonia
"Salvador Carmona, José (or Josef)",Madrid
"Salvador Carmona, Juan Antonio",
"Salvador Carmona, Luis",Valladolid; Madrid
"Salvador Carmona, Manuel",Madrid
"Salvador Gómez, Luciano",Valencia
"Salvador Gómez, Vicente (or Vizente)",Valencia
"Salvador i Voltes, Joan",Tarragona
"Salvatierra y Molero, Ramón",
"Salzillo y Alcaraz, Francisco",Murcia
"Salzillo y Alcaraz, José Antonio",Murcia
"Salzillo y Alcaraz, Patricio",Murcia
"Samsó, Joan (or Juan)",Barcelona
"San Gil y Villanueva, Manuel",Madrid and Saragossa
"San José, Francisco",Madrid
"San Leocadio, Felipe Pablo de",Valencia
"San Leocadio, Paolo (or Pablo, or Paulo) de",Valencia
"San Martín, Julián",Madrid
"San Millán de la Cogolla, Scriptorium of, Anonymous Painters of",
"Sancha y Lengo, Francisco",Málaga and Madrid
"Sancha y Valverde, José",Málaga
