WNAM,FEM
"Alvarez Laviada, Manuel",
"Alvarez Muñiz, Braulio",
"Alvarez Muro, Miguel Angel",
"Alvarez Ortega, Rafael",
"Alvarez Sala, Ventura",
"Alvarez, Adrián",
"Alvarez, Agustín",
"Alvarez, Lorenzo",
"Alvarez, Manuel",
"Alvarez, Manuel",
"Alvarez, Manuel Angel",
"Alvarez, Toribio",
"Alvaro, Vicente",
"Alvear Aguirre, Gerardo de",
"Amadeu, Ramon",
"Amado Bernadet, Ramón",
Amar,
"Amaré, Rafael",
"Amárica, Fernando de",
"Amat Pagés, Gabriel",
"Amat Pagés, José (or Josep)",
"Amat Virgili, José (or Josep)",
"Amat, José (or Josep)",
"Amaya Guerrero, Gabino",
"Amaya, Andrés",
"Amberes, Domingo de",
"Amberes, Francisco de",
"Amell Jordá, Manuel",
"Amérigo Morales, Ramón",
"Amérigo Rouviere, Federico",
"Amérigo Salazar, José",
"Amérigo y Aparici, Francisco Javier",
"Ametller, Blas (or Blai)",
"Amézqueta, Juan de",
"Amigó, Eduardo (or Eduard)",
"Amigó, Eudaldo Ramón (or Eduardo Ramón, or Eudald Ramon)",
"Amigo, Martín",
"Amigó, Mossèn (or Mosén) Jaume (or Jaime, or Jayme)",
"Amirato, Claudio",
"Amo, José del",
"Amor, Jerónimo",
"Amorós Botella, Antonio (or Antoni)",
"Amorós y Planelles, Manuel",
"Amusco, Antonio de",
"Amutio, Federico",
"Ancheta, Juan de",
"Ancheta, Juan de",
"Ancheta, Miguel de",
"Anckermann, Ricardo",
"Andalusia, School of, Anonymous Painters of",
"Andalusia, School of, Anonymous Sculptors of",
"Andino, Cristóbal",
"Andino, Pedro",
"Andrada, Francisco",
"Andrade Blázquez, Angel",
"Andrade, Domingo de",
Andrés Florentín,
"Andreu Estrany, Mariano (or Mariá, or Marian)",
"Andreu Ramón, Pedro Cristóbal (or Pedre Cristòfol)",
"Andreu Sentamans, Teodoro",
"Andreu, Rafael",
"Andreu, Rafael",
"Andreu, Rafael",
"Andreu, Ramón",
"Anduiza y Saloña, Diódoro",
Anesca de Carcasona,
"Angel [the Elder], Pedro",
"Angel [the Younger], Pedro",
"Angel, Manuel",
"Angeles Ortiz, Manuel",
