RN,FRECN,ALT,authority,search,authimport
1433,742,"Echelucea, Bernal Gabadi*","Gabadi, Bernal (or Bernart) de","Echelucea, Bernal Gabadi*;  Gabadi, Bernal (or Bernart) de","Gabadi, Bernal (or Bernart) de"
1434,742,"Gabadi y Echelucea, Bernal de","Gabadi, Bernal (or Bernart) de","Gabadi y Echelucea, Bernal de;  Gabadi, Bernal (or Bernart) de","Gabadi, Bernal (or Bernart) de"
1435,743,"Colonia, Hans de","Colonia, Juan de","Colonia, Hans de;  Colonia, Juan de","Colonia, Juan de"
1436,743,"Cöln, Hans von","Colonia, Juan de","Cöln, Hans von;  Colonia, Juan de","Colonia, Juan de"
1437,743,"Colonia, Juan Hans de","Colonia, Juan de","Colonia, Juan Hans de;  Colonia, Juan de","Colonia, Juan de"
1438,744,"Köln, Simon von","Colonia, Simón de","Köln, Simon von;  Colonia, Simón de","Colonia, Simón de"
1439,744,"Ximón, Master","Colonia, Simón de","Ximón, Master;  Colonia, Simón de","Colonia, Simón de"
1440,745,Copín,"Copín de Holanda [the Elder], Diego","Copín;  Copín de Holanda [the Elder], Diego","Copín de Holanda [the Elder], Diego"
1441,745,"Copín, Diego","Copín de Holanda [the Elder], Diego","Copín, Diego;  Copín de Holanda [the Elder], Diego","Copín de Holanda [the Elder], Diego"
1442,745,Copín de Holanda,"Copín de Holanda [the Elder], Diego","Copín de Holanda;  Copín de Holanda [the Elder], Diego","Copín de Holanda [the Elder], Diego"
1443,745,"Copín de Holanda, Master (Diego)","Copín de Holanda [the Elder], Diego","Copín de Holanda, Master (Diego);  Copín de Holanda [the Elder], Diego","Copín de Holanda [the Elder], Diego"
